sz	vz	raa	ref.vz(*10000)	nbar(*10000)	c-factor
45	7.80	180	2547.876152	2657.351460	1.042967
45	7.70	180	2549.102688	2657.351460	1.042465
45	7.60	180	2550.334294	2657.351460	1.041962
45	7.50	180	2551.570942	2657.351460	1.041457
45	7.40	180	2552.812604	2657.351460	1.040950
45	7.30	180	2554.059253	2657.351460	1.040442
45	7.20	180	2555.310864	2657.351460	1.039933
45	7.10	180	2556.567411	2657.351460	1.039422
45	7.00	180	2557.828869	2657.351460	1.038909
45	6.90	180	2559.095216	2657.351460	1.038395
45	6.80	180	2560.366426	2657.351460	1.037879
45	6.70	180	2561.642479	2657.351460	1.037362
45	6.60	180	2562.923352	2657.351460	1.036844
45	6.50	180	2564.209024	2657.351460	1.036324
45	6.40	180	2565.499474	2657.351460	1.035803
45	6.30	180	2566.794681	2657.351460	1.035280
45	6.20	180	2568.094626	2657.351460	1.034756
45	6.10	180	2569.399290	2657.351460	1.034231
45	6.00	180	2570.708654	2657.351460	1.033704
45	5.90	180	2572.022699	2657.351460	1.033176
45	5.80	180	2573.341407	2657.351460	1.032646
45	5.70	180	2574.664762	2657.351460	1.032116
45	5.60	180	2575.992746	2657.351460	1.031583
45	5.50	180	2577.325342	2657.351460	1.031050
45	5.40	180	2578.662535	2657.351460	1.030515
45	5.30	180	2580.004307	2657.351460	1.029979
45	5.20	180	2581.350643	2657.351460	1.029442
45	5.10	180	2582.701529	2657.351460	1.028904
45	5.00	180	2584.056950	2657.351460	1.028364
45	4.90	180	2585.416889	2657.351460	1.027823
45	4.80	180	2586.781335	2657.351460	1.027281
45	4.70	180	2588.150271	2657.351460	1.026738
45	4.60	180	2589.523686	2657.351460	1.026193
45	4.50	180	2590.901564	2657.351460	1.025647
45	4.40	180	2592.283894	2657.351460	1.025100
45	4.30	180	2593.670661	2657.351460	1.024552
45	4.20	180	2595.061855	2657.351460	1.024003
45	4.10	180	2596.457461	2657.351460	1.023453
45	4.00	180	2597.857469	2657.351460	1.022901
45	3.90	180	2599.261865	2657.351460	1.022348
45	3.80	180	2600.670640	2657.351460	1.021795
45	3.70	180	2602.083780	2657.351460	1.021240
45	3.60	180	2603.501275	2657.351460	1.020684
45	3.50	180	2604.923113	2657.351460	1.020127
45	3.40	180	2606.349285	2657.351460	1.019568
45	3.30	180	2607.779779	2657.351460	1.019009
45	3.20	180	2609.214585	2657.351460	1.018449
45	3.10	180	2610.653692	2657.351460	1.017887
45	3.00	180	2612.097091	2657.351460	1.017325
45	2.90	180	2613.544772	2657.351460	1.016761
45	2.80	180	2614.996725	2657.351460	1.016197
45	2.70	180	2616.452941	2657.351460	1.015631
45	2.60	180	2617.913410	2657.351460	1.015065
45	2.50	180	2619.378123	2657.351460	1.014497
45	2.40	180	2620.847071	2657.351460	1.013928
45	2.30	180	2622.320245	2657.351460	1.013359
45	2.20	180	2623.797637	2657.351460	1.012788
45	2.10	180	2625.279238	2657.351460	1.012217
45	2.00	180	2626.765040	2657.351460	1.011644
45	1.90	180	2628.255033	2657.351460	1.011071
45	1.80	180	2629.749211	2657.351460	1.010496
45	1.70	180	2631.247566	2657.351460	1.009921
45	1.60	180	2632.750089	2657.351460	1.009344
45	1.50	180	2634.256772	2657.351460	1.008767
45	1.40	180	2635.767609	2657.351460	1.008189
45	1.30	180	2637.282591	2657.351460	1.007610
45	1.20	180	2638.801712	2657.351460	1.007030
45	1.10	180	2640.324964	2657.351460	1.006449
45	1.00	180	2641.852340	2657.351460	1.005867
45	0.90	180	2643.383834	2657.351460	1.005284
45	0.80	180	2644.919438	2657.351460	1.004700
45	0.70	180	2646.459145	2657.351460	1.004116
45	0.60	180	2648.002950	2657.351460	1.003530
45	0.50	180	2649.550845	2657.351460	1.002944
45	0.40	180	2651.102825	2657.351460	1.002357
45	0.30	180	2652.658882	2657.351460	1.001769
45	0.20	180	2654.219011	2657.351460	1.001180
45	0.10	180	2655.783206	2657.351460	1.000591
45	0.00	0	2657.351460	2657.351460	1.000000
45	0.10	0	2658.923769	2657.351460	0.999409
45	0.20	0	2660.500125	2657.351460	0.998817
45	0.30	0	2662.080524	2657.351460	0.998224
45	0.40	0	2663.664959	2657.351460	0.997630
45	0.50	0	2665.253426	2657.351460	0.997035
45	0.60	0	2666.845919	2657.351460	0.996440
45	0.70	0	2668.442433	2657.351460	0.995844
45	0.80	0	2670.042962	2657.351460	0.995247
45	0.90	0	2671.647501	2657.351460	0.994649
45	1.00	0	2673.256045	2657.351460	0.994050
45	1.10	0	2674.868590	2657.351460	0.993451
45	1.20	0	2676.485131	2657.351460	0.992851
45	1.30	0	2678.105662	2657.351460	0.992250
45	1.40	0	2679.730179	2657.351460	0.991649
45	1.50	0	2681.358678	2657.351460	0.991047
45	1.60	0	2682.991153	2657.351460	0.990444
45	1.70	0	2684.627601	2657.351460	0.989840
45	1.80	0	2686.268017	2657.351460	0.989235
45	1.90	0	2687.912396	2657.351460	0.988630
45	2.00	0	2689.560735	2657.351460	0.988024
45	2.10	0	2691.213030	2657.351460	0.987418
45	2.20	0	2692.869275	2657.351460	0.986810
45	2.30	0	2694.529468	2657.351460	0.986202
45	2.40	0	2696.193605	2657.351460	0.985594
45	2.50	0	2697.861681	2657.351460	0.984984
45	2.60	0	2699.533692	2657.351460	0.984374
45	2.70	0	2701.209636	2657.351460	0.983764
45	2.80	0	2702.889507	2657.351460	0.983152
45	2.90	0	2704.573304	2657.351460	0.982540
45	3.00	0	2706.261022	2657.351460	0.981927
45	3.10	0	2707.952658	2657.351460	0.981314
45	3.20	0	2709.648208	2657.351460	0.980700
45	3.30	0	2711.347669	2657.351460	0.980085
45	3.40	0	2713.051038	2657.351460	0.979470
45	3.50	0	2714.758312	2657.351460	0.978854
45	3.60	0	2716.469487	2657.351460	0.978237
45	3.70	0	2718.184561	2657.351460	0.977620
45	3.80	0	2719.903530	2657.351460	0.977002
45	3.90	0	2721.626392	2657.351460	0.976384
45	4.00	0	2723.353143	2657.351460	0.975765
45	4.10	0	2725.083782	2657.351460	0.975145
45	4.20	0	2726.818304	2657.351460	0.974525
